[Camino del Guardabosques: día 1]<br>Maratonear Los Guardabosques.<br>¡Has ganado 5 aceleradores!	Día 1	//ログイン1日目獲得文章
[Camino del Guardabosques: día 2]<br>Debatir sobre la «justicia» 6 horas.<br>¡Has ganado 4 gatos ricachones!	Día 2	//ログイン2日目獲得文章
[Camino del Guardabosques: día 3]<br>Practicar poses de transformación.<br>¡Has ganado 1 tique raro!	Día 3	//ログイン3日目獲得文章
[Camino del Guardabosques: día 4]<br>Ayudar con las tareas a mamá.<br>¡Has ganado 4 gatomáticos!	Día 4	//ログイン4日目獲得文章
[Camino del Guardabosques: día 5]<br>Echarse una siesta reparadora.<br>¡Has ganado 2 tiques gatunos!	Día 5	//ログイン5日目獲得文章
[Camino del Guardabosques: día 6]<br>Ayudar a una anciana a cruzar.<br>¡Has ganado 1 tique raro!	Día 6	//ログイン6日目獲得文章
[Camino del Guardabosques: día 7]<br>Dar la chapa al presentarte.<br>¡Has ganado 1 radar de tesoros!	Día 7	//ログイン7日目獲得文章
[Camino del Guardabosques: día 8]<br>Empañar el casco al respirar fuerte.<br>¡Has ganado 5 gatotiradores!	Día 8	//ログイン8日目獲得文章
[Camino del Guardabosques: día 9]<br>Intervenir en una riña de gatos.<br>¡Has ganado 1 tique raro!	Día 9	//ログイン9日目獲得文章
[Camino del Guardabosques: día 10]<br>Olvidarse el cinturón transformador.<br>¡Has ganado 3 tiques gatunos!	Día 10	Muta en el nivel 10.
[Camino del Guardabosques: día 11]<br>Comprar cortinas y usarlas de capa.<br>¡Has ganado 4 sabelotodo!	Día 11	//ログイン11日目獲得文章
[Camino del Guardabosques: día 12]<br>Caer en una trampa de hierba gatera.<br>¡Has ganado 1 tique raro!	Día 12	//ログイン12日目獲得文章
[Camino del Guardabosques: día 13]<br>Derrotar al enemigo con cosquillas.<br>¡Has ganado 3 gatos ricachones!	Día 13	//ログイン13日目獲得文章
[Camino del Guardabosques: día 14]<br>Lema silenciado por el tráfico.<br>¡Has ganado 3 gatomáticos!	Día 14	//ログイン14日目獲得文章
[Camino del Guardabosques: día 15]<br>Firmar tu primer autógrafo.<br>¡Has ganado 1 tique raro!	Día 15	//ログイン15日目獲得文章
[Camino del Guardabosques: día 16]<br>Salvar al mundo (en sueños).<br>¡Has ganado 1 radar de tesoros!	Día 16	//ログイン16日目獲得文章
[Camino del Guardabosques: día 17]<br>Beber mucha leche para los huesos.<br>¡Has ganado 3 sabelotodo!	Día 17	//ログイン17日目獲得文章
[Camino del Guardabosques: día 18]<br>Idear tu ataque mientras patrullas.<br>¡Has ganado 1 tique raro!	Día 18	//ログイン18日目獲得文章
[Camino del Guardabosques: día 19]<br>Nuevo mejor amigo: masa muscular.<br>¡Has ganado 5 aceleradores!	Día 19	//ログイン19日目獲得文章
[Camino del Guardabosques: día 20]<br>Transformarse más de 3 minutos.<br>¡Has ganado 3 tiques gatunos!	Día 20	//ログイン20日目獲得文章
[Camino del Guardabosques: día 21]<br>Defender la ciudad del mal.<br>¡Has ganado 1 tique raro!	Día 21	//ログイン21日目獲得文章
[Camino del Guardabosques: día 22]<br>Usar el mapa del revés y perderte.<br>¡Has ganado 3 sabelotodo!	Día 22	//ログイン22日目獲得文章
[Camino del Guardabosques: día 23]<br>Repasar estrategia del duelo final.<br>¡Has ganado 3 gatos ricachones!	Día 23	//ログイン23日目獲得文章
[Camino del Guardabosques: día 24]<br>Infiltrarse en la guarida del Kaijin y...<br>¡Has ganado 1 tique raro!	Día 24	//ログイン24日目獲得文章
[Camino del Guardabosques: día 25]<br>Ser el mejor colega de un matón.<br>¡Has ganado 2 tiques gatunos!	Día 25	//ログイン25日目獲得文章
[Camino del Guardabosques: día 26]<br>Disfrutar del cariño de los fans.<br>¡Has ganado 1 radar de tesoros!	Día 26	//ログイン26日目獲得文章
[Camino del Guardabosques: día 27]<br>Enfrentarse a un Kaijin gigante.<br>¡Has ganado 1 tique raro!	Día 27	//ログイン27日目獲得文章
[Camino del Guardabosques: día 28]<br>Bronca por el nombre de un Kaijin.<br>¡Has ganado 3 gatomáticos!	Día 28	//ログイン28日目獲得文章
[Camino del Guardabosques: día 29]<br>Esquivar un golpe al tropezar.<br>¡Has ganado 5 gatotiradores!	Día 29	//ログイン29日目獲得文章
[Camino del Guardabosques: día 30]<br>Vencer a un Kaijin en ortografía.<br>¡Has ganado 1 tique raro!	Día 30	//ログイン30日目獲得文章
